GeneA,GeneB,Prediction,BinaryPrediction,label
TSPAN1,EIF4EBP1,0.9020249843597412,1,new_SL
TSPAN1,IL12RB1,0.9018769264221193,1,new_SL
TSPAN1,GOLGB1,0.9018301963806152,1,new_SL
TSPAN1,FCER2,0.9017338156700134,1,new_SL
TSPAN1,CYP2C8,0.901406228542328,1,new_SL
TSPAN1,OSMR,0.9012033343315125,1,new_SL
TSPAN1,TCF7L2,0.9010884165763856,1,new_SL
TSPAN1,RAP1GAP,0.9006996750831604,1,new_SL
TSPAN1,NHSL1,0.9001429080963135,1,new_SL
TSPAN1,PTPRF,0.8994020819664001,1,new_SL
TSPAN1,PTPN11,0.8991461992263794,1,new_SL
TSPAN1,HNF1A,0.8988391757011414,1,new_SL
TSPAN1,NUTM2E,0.8982301354408264,1,new_SL
TSPAN1,SPATA2L,0.8981649279594421,1,new_SL
TSPAN1,EGR1,0.89737868309021,1,new_SL
TSPAN1,RIMS1,0.8957830667495728,1,new_SL
TSPAN1,TFAP2D,0.8935896158218384,1,new_SL
TSPAN1,ZGRF1,0.8933507204055786,1,new_SL
TSPAN1,PPFIA4,0.893108069896698,1,new_SL
TSPAN1,ZBTB32,0.8929097652435303,1,new_SL
TSPAN1,COL27A1,0.8927832245826721,1,new_SL
TSPAN1,PTPRM,0.8926293849945068,1,new_SL
TSPAN1,RABL6,0.8922620415687561,1,new_SL
TSPAN1,SPATA31G1,0.8915380239486694,1,new_SL
TSPAN1,ORM1,0.8905892372131348,1,new_SL
TSPAN1,RELB,0.8885772228240967,1,new_SL
TSPAN1,TBX6,0.8880519270896912,1,new_SL
TSPAN1,CLEC17A,0.8879875540733337,1,new_SL
TSPAN1,COL7A1,0.8874748945236206,1,new_SL
TSPAN1,PTPN3,0.8872717618942261,1,new_SL
TSPAN1,PPARGC1A,0.8870282769203186,1,new_SL
TSPAN1,EPO,0.8867625594139099,1,new_SL
TSPAN1,ELK4,0.8866729736328125,1,new_SL
TSPAN1,COL11A1,0.8865544199943542,1,new_SL
TSPAN1,IGHD,0.8861995339393616,1,new_SL
TSPAN1,PER1,0.8861556649208069,1,new_SL
TSPAN1,MAGEC1,0.8859869837760925,1,new_SL
TSPAN1,PHLDB2,0.8859598636627197,1,new_SL
TSPAN1,FOCAD,0.8853284120559692,1,new_SL
TSPAN1,IRS1,0.8850483894348145,1,new_SL
TSPAN1,SOX10,0.8845357298851013,1,new_SL
TSPAN1,PRKDC,0.8836771249771118,1,new_SL
TSPAN1,IGFALS,0.8835639357566833,1,new_SL
TSPAN1,PRM3,0.8829734325408936,1,new_SL
TSPAN1,ZNF827,0.8827980160713196,1,new_SL
TSPAN1,SELE,0.8827813863754272,1,new_SL
TSPAN1,ZNF420,0.8825939297676086,1,new_SL
TSPAN1,MAST2,0.8820279240608215,1,new_SL
TSPAN1,COL5A1,0.8802621960639954,1,new_SL
TSPAN1,SEPTIN9,0.8792943358421326,1,new_SL
TSPAN1,FGA,0.8785811066627502,1,new_SL
TSPAN1,MADCAM1,0.8780336380004883,1,new_SL
